id,establishment_name,category,system_of_medicine,address,district,certificate_number,certificate_validity,latitude,longitude,email,phone,num_beds,land_area_sqft,building_area_sqft,page_number
260,ATHARVA MAULTISPECIALITY AYURVEDIC AND HEALING CENTRE,AYUSH Therapy Centre,Ayurveda,"# 40/C, FLAT # 02, 2ND STAGE, INDUSTRIAL SUB URB VISHVESHWARA NAGAR,, KHILLE MOHALLA, MYSORE",MYSORE,MYS00800AYATC,29 Mar 2028,12.28,76.64,amaymysuru@gmail.com,9342104203,0,Buliding Area(sq.ft):,,3
261,SHREE SAI MULTISPECIALITY DENTAL CLINIC,Dental Lab or Clinic,Allopathy,"SHOP NO.13 AND 14 SILVER TOWER, QUADRI CHOWK, ALAND ROAD KALABURAGI-585101",KALABURAGI,GLB01875ALDEN,03 Nov 2030,17.34,76.82,drmangalgi@gmail.com,9739292291,0,450,400,1
262,DR BEDREKAR HOMOEO CLINIC,Clinic/Polyclinic Only Consultation,Homeopathy,"Azad Road, Tq.Alnavar, Dist.Dharwad.",DHARWAD,DWR00109HOCOC,10 Nov 2025,15.429608,74.738912,haleelabedrekar15@gmail.com,8147692359,0,Buliding Area(sq.ft):,,4
263,ATHARV WOMEN CARE AND FERTILITY CENTRE,Clinic/Polyclinic Only Consultation,Allopathy,"NO. 32, 3RD BLOCK, 2ND STAGE, NEAR BDA COMPLEX, NAGARBHAVI, BANGALORE -560072",BANGALORE,BLU00645ALCOC,06 Sep 2025,12.97,77.51,sumana.krishna11@gmail.com,9916822596,0,Buliding Area(sq.ft):,,3
264,SRI LAXMI VENKATESHWARA HOSPITAL,Clinic/Polyclinic Only Consultation,Homeopathy,SRI LAXMI VENKATESHWARA HOSPITAL OPP IRANNA TEMPLE ISLAMPUR GANGAVATHI,,KPL00010HOCOC,29 Oct 2026,15.4392,76.5299,handralsb50@gmail.com,9686128814,0,608,432,1
265,GURU CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"ALANAHALLI, H.D.KOTE TALUK, MYSORE",MYSORE,MYS01857AYCOC,21 Aug 2030,12.06,76.33,guruclinic@gmail.com,9980737147,0,Buliding Area(sq.ft):,,4
266,Sveta Clinic,Clinic/Polyclinic Only Consultation,Allopathy,"#448, 2nd cross, 1st stage, Indiranagar, Krishna temple road, Bangalore",BANGALORE,BLU01559ALCOC,24 Feb 2026,12.9794,77.6442,svetaclinics@gmail.com,8971248222,0,Buliding Area(sq.ft):,,3
267,DRISHTI EYE HOSPITAL,Hospital (Level 1A),Allopathy,DURGADASIRI COMPLEX NEAR RTO OFFICE TURUVANUR ROAD CHITRADURGA,CHITRADURGA,CTR00118ALH1A,03 Aug 2026,14.231,76.409,kiran@drishticare.org,9845182767,10,6000,5000,1
268,CHILDRENS CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"CHILDRENS CLINIC, CARAVAN COMPLEX OPP HARSHA,K.M.MARG UDUPI-576101",UDUPI,UDP00468ALCOC,28 Nov 2026,13.34,74.74,Phone:,9448503889,0,Buliding Area(sq.ft):,,2
269,suresh hospital and maternity home,Hospital (Level 2),Allopathy,"opp mohan theatre,hegganahalli main road bangalore91",BANGALORE,BLU12224ALHL2,17 Sep 2030,13.004310,77.4975,Phone:,9886692645,28,1589,3228,4
270,BENGALURU GENOMICS CENTER PVT LTD,Clinic/Polyclinic with Diagnostic Support,Allopathy,"Plot. No.40/2, 2nd Floor, Ramanashree California Gardens, Opp. to Duo Marvel Layout, Ananthapura Main Road, Yelahanka, Bengaluru",BENGALURU,BLU00614ALCDS,30 Aug 2025,13.11,77.57,reach@genomics.com,8105320806,0,Buliding Area(sq.ft):,,3
271,NAGARATHNA DENTAL CLINIC,Dental Lab or Clinic,Allopathy,"#180/I, BSC COMPLEX, MAHAVEERA ROAD, DAVANAGERE",DAVANAGERE,DVG00371ALDEN,03 Jul 2027,14.47,75.92,drrajupcd@gmail.com,9844138067,0,Buliding Area(sq.ft):,,1
272,SHAFFI HERBAL & HIJAMA CLINIC,Clinic/Polyclinic with Dispensary,Unani,"1ST FLOOR, KATCHI MASJID BUILDING, BUNDER, MANGALORE",MANGALORE,DKA00531UNCWD,17 Aug 2026,12.8616853,74.8336234,syedzahid083@gmail.com,9448770883,0,Buliding Area(sq.ft):,180,2
273,Divine Women and Child Speciality Clinic,Clinic/Polyclinic Only Consultation,Allopathy,"No. 506 4th cross 3rd phase 2nd block, BSK 3 rd Stage, Bangalore",BANGALORE,BLU00809ALCOC,12 Oct 2025,12.929,77.54,Vinuthaprashanthg@gmail.com,9986588668,0,Buliding Area(sq.ft):,,3
274,M/s. Sri Deepa Hospital.,Hospital (Level 1A),Allopathy,"#644, 60 ft Road,5th Block,Vishweshwaraiah Nagar, Naer Ullal Upanagar, Bengaluru-560056",BENGALURU,BLU00897ALH1A,01 Nov 2025,13.061,77.634,deepahospital@gmail.com,9886889515,25,1600,1600,4
275,SUSHODHA AYURVEDA HEALTH CARE CENTER,AYUSH Therapy Centre,Ayurveda,"M NO 5-1-230/8, CBS COLONY, HOSALLI ROAD, GANGAVATHI",,KPL00024AYATC,03 Mar 2027,15.40211,76.54676,drsunilarali@gmail.com,9844403866,0,1800,2600,1
276,Nitte Deemed to be University Satellite Centre,Dental Lab or Clinic,Allopathy,"Mangalore University Health Centre Mangalagangothri, Konaje",MANGALORE,DKA00760ALDEN,31 Mar 2027,12.815620,74.920329,drnisha136@gmail.com,9731667960,0,Buliding Area(sq.ft):,,2
277,GENEMATRIX MOLECULAR DIAGNOSTICS AND RESEARCH,Medical Diagnostic Laboratory,Allopathy,"PANJOOR PLAZA, 1ST MAIN ROAD, DR. RAJKUMAR ROAD, RAJAJINAGAR, BANGALORE",BANGALORE,BLU00780ALMDL,28 Sep 2025,12.9,77.59,thejaswinimu@gmail.com,9845079399,0,2400,650,3
278,Naveen Hospital,Hospital (Level 1A),Allopathy,IB Road Raichur,RAICHUR,RCR00024ALH1A,17 Apr 2026,16.2160,77.3566,drkrpn@gmail.com,9448897639,50,10895,12800,1
279,ARAVINDs AYURVEDA WELLNESS CENTRE,AYUSH Therapy Centre,Ayurveda,"1st Parallel Road, Durgigudi, Near Sparsha Hospital, Shimoga.",,SMG00054AYATC,09 Jun 2026,13.945384,75.561833,aravi_mc@yahoo.co.in,8861065757,0,Buliding Area(sq.ft):,,4
280,RajaRajeswari Medical College & Hospital,Hospital (Level 4)(Teaching),Allopathy,"No. 202 Kambipura, Mysore Road, Bangalore 560074.",MYSORE,BLU01940ALHL4,16 May 2026,12.8954,77.4611,Phone:,9900028028,0,1089000,1500000,2
281,HEALTHIANS DIAGNOSTICS LABS. EXPEDIENT HEALTHCARE MARKETING PVT LTD DBA HEALTHIANS.,Medical Diagnostic Laboratory,Allopathy,"No.4BC-301, The Summit, 3rd A Main, 4th B Cross, EAST of NGEF BDA Layout, Kasturinagar East, Ramamurthy Nagar Main Road, Bengaluru",BENGALURU,BLU00630ALMDL,02 Sep 2025,13.01,77.67,meenal.gupta@healthians.com,9910633387,0,Buliding Area(sq.ft):,,3
282,LIFE LINE HOMOEOPATHY,Clinic/Polyclinic with Dispensary,Homeopathy,"BASEMENT, ESSEL CENTRE, M.G ROAD, MANGALORE",MANGALORE,DKA00258HOCWD,26 Jan 2026,12.87745,74.84191,drrajachandra@gmail.com,9741736043,0,400,,4
283,KARIGARS CARDIO DIABETES CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"#196, Mannat, Pearl Layout, Near Shabari Nagar, Keshwapur, Hubballi.",,DWR00347ALCOC,28 Aug 2026,15.370976,75.159232,asadullahkarigar6450@gmail.com,9972535239,0,Buliding Area(sq.ft):,,1
284,Tejaswini Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,S B Colony Sindhanur,,RCR00082AYCOC,26 Apr 2027,18.386999,76.580925,veeraraj2050@gmail.com,9060401437,0,Buliding Area(sq.ft):,,3
285,D R M HOSPITAL,Hospital (Level 1A),Allopathy,BEHIND OLD INDIAN BANK HOLALKERE ROAD CHITRADURGA,CHITRADURGA,CTR00016ALH1A,03 Feb 2026,14.224,76.397,prajwalmanjunath090@gmail.com,7022190630,15,1687,1687,4
286,OM SAI RAM NEELKAMAL DENTAL CLINIC,Dental Lab or Clinic,Allopathy,"Preeti Aashiyaana Complex, Shirur Park Circle, Vidyanagar, Hubballi.",,DWR00335ALDEN,24 Jul 2026,15.363181,75.121502,drvanishreenr@gmail.com,8310927993,0,Buliding Area(sq.ft):,,1
287,Padmashree Clinic,Clinic/Polyclinic with Observation,Allopathy,"Head Office, Lakshmeshwar",,GDG00021ALCWO,18 Apr 2026,15.5461,76.5431,chandrakala.basti@gmail.com,7411190385,0,2496,3462,3
288,THE EYE CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"ANNAIAH COMPLEX HOSALLI ROAD, MANDYA",MANDYA,MAN00071ALCOC,19 Feb 2026,12.5644,76.7337,subbaramanyamurali@gmail.com,9448740093,0,Buliding Area(sq.ft):,,4
289,WELL CARE POLYCLINIC,Clinic/Polyclinic with Diagnostic Support,Allopathy,"#1016, Shivapura Main Road, Adarsha Nagar, Arshinakunte, Kasaba Hobli, Nelamangala Taluk, Bangalore Rural District - 562123",BANGALORE,BLR00086ALCDS,20 Oct 2026,13.07,77.42,wellcarepolyclinic732@gmail.com,9620361158,0,Buliding Area(sq.ft):,,1
290,SAI BALAJI SPECIALITY CENTRE,Clinic/Polyclinic with Diagnostic Support,Allopathy,# 2537 OPP KRISHNA KALA MANDIRA MCC A BLOCK DAVANAGERE,DAVANAGERE,DVG00200ALCDS,23 Aug 2026,14.461727,75.906682,venkatanu1997@yahoo.com,9448268607,0,3060,1800,3
291,SANJEEVINI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"No.85, Srigandhanagar, 3rd Cross, Hegganahalli Main Road, Bangalore",BANGALORE,BLU12440AYCOC,02 Nov 2030,13.00,77.51,Phone:,9742021373,0,Buliding Area(sq.ft):,,4
292,Taahaa Clinic,Clinic/Polyclinic Only Consultation,Homeopathy,"C. B. Pura road, Millath Nagar, Kolar",KOLAR,KLR00025HOCOC,07 Aug 2026,13.17,78.202,kubrasadiya93@gmail.com,9742355569,0,Buliding Area(sq.ft):,,1
293,Mangala Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"Begur, Gundlupet Taluk",,CNR00017AYCOC,26 Jul 2026,11.940732,76.671791,prabhakartm02@gmail.com,9972124598,0,Buliding Area(sq.ft):,,3
294,LAKSHMI CHILD CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,BEHIND BHAVANI TILES NEAR BALAMURGAN TEMPLE CORONATION RAOD BANGARPET,,KLR00126ALCOC,28 Feb 2027,12.9876481,78.1807209,drkdhanalakshmi64@gmail.com,9448402576,0,120,1380,4
295,TRUST IN HOSPITAL NMPC HEALTHCARE PVT.LTD.,Hospital (Level 3)(Non-Teaching with Super Specialty Services),Allopathy,"NO.12/1, M.V. APPA COMPLEX, HORAMAVU MAIN ROAD, BENGALURU-560043.",BENGALURU,BLU01844ALHL3,21 Apr 2026,13.00,77.64,nmpchealthcare@gmail.com,9342179366,100,Buliding Area(sq.ft):,,1
296,TANMAYI LABORATORY,Medical Diagnostic Laboratory,Allopathy,"CHIKKERUR ROAD, VIDYA NAGAR, NEAR GANESH TEMPLE HIREKERUR",,HVR00162ALMDL,23 Mar 2026,14.45,75.39,mallikarjunhosalli143@gmail.com,8971940243,0,260,213,3
297,ADITI CLINICAL LABORATORY,Medical Diagnostic Laboratory,Allopathy,"CHAITRARAVI, 2ND CROSS KANAKA NAGARA NH 13 CHITRADURGA",CHITRADURGA,CTR00029ALMDL,07 Feb 2026,14.141,76.241,aditiclinicallaboratory@gmail.com,9980170143,0,1600,1600,4
298,Shree Krishna Homoeopathic Clinic,Clinic/Polyclinic Only Consultation,Homeopathy,"1st Floor, Srinivas Complex, Near M R Nayak Petrol Pump, Palace Road, Vittal 574243",,DKA00734HOCOC,23 Mar 2027,12.761853,75.102419,Phone:,7259865216,0,225,225,1
299,Hi Tech Diagnostics,Clinic/Polyclinic with Diagnostic Support,Allopathy,"1st Floor, Municipality Complex, Near KSRTC Bus Stand, Ankola, Uttara-Kannada District",,UKA00014ALCDS,10 Feb 2026,14.6597614,74.3073561,hitechankola4@gmail.com,9620428218,0,695,500,3
300,SURAKSHA SPECIALITY DENTAL CARE,Dental Lab or Clinic,Allopathy,"1ST FLOOR T.M.P PLAZA, BESIDE MORE SUPER MARKET, S.N PET MAIN ROAD, BALLARI",BALLARI,BEL00163ALDEN,16 Apr 2026,15.148216,76.934672,yadavalliguruprasad@gmail.com,7406270949,0,Buliding Area(sq.ft):,350,4
301,VIJAYA DENTAL CLINIC,Dental Lab or Clinic,Allopathy,"1ST FLOOR, SONA COMPLEX, KALAMMA STREET, BALLARI",BALLARI,BEL00297ALDEN,04 Jan 2027,15.14064,76.92608,drvanidhar@gmail.com,9242397779,0,Buliding Area(sq.ft):,,1
302,MANISHA HEALTH CARE CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"13,11 MAIN ,3 RD BLOCK EAST ,JAYANAGAR BENGALURU 560011",BENGALURU,BLU08706ALCOC,02 Sep 2029,12.9313615,77.5862854,sonejadrmanju@yahoo.co.in,9036269763,0,2400,350,3
303,GIRISH CHILDREN CLINIC/ VOLGA DENTAL CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"NO.793, 8TH A CROSS, A SECTOR, YELAHANKA NEW TOWN, BANGALORE-560064.",BANGALORE,BLU12350ALCOC,17 Oct 2030,13.1042,77.5713,Phone:,9880146161,0,Buliding Area(sq.ft):,,4
304,AROGYA CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,"NO 1-187-5, shop no 3, first floor, Janaki commercial centre, Haleangadi",,DKA00529AYCWD,17 Aug 2026,13.046,74.79,priya.shettigar85@gmail.com,9036365645,0,170,170,1
305,AMAN CLINICAL LABORATORY,Medical Diagnostic Laboratory,Allopathy,"# 4803 1st Cross Shivaji Nagar, Belagavi Tq/Dt.Belagavi",BELAGAVI,BLG00321ALMDL,25 Jul 2026,15.86,74.51,amanullasayyad1@gmail.com,8496024691,0,120,120,3
306,MRITYUNJAYA CLINIC ATHANI,Clinic/Polyclinic Only Consultation,Ayurveda,"BUDHAWAR PETH HOUSE 982,ATHANI",,BLG00642AYCOC,07 Mar 2027,16.729259,75.065296,dr.basavaraj.hundekar@gmail.com,9480236060,0,270,260,4
307,SUSHRUTA MEDICAL AID AND RESEARCH HOSPITAL LIMITED,Specialty / Super-Specialty Specific Hospital,Allopathy,NO.202 RASHTRIYA VIDYALAYA ROAD BASAVANGUDI BANGALORE 560004,BANGALORE,BLU03321ALSSH,25 Apr 2027,12.9378,77.5803,Phone:,7676273505,200,21043,100000,1
308,NISARGA CARE AND CURE MULTISPECIALITY HOSPITAL,Hospital (Level 1A),Allopathy,"OPP OM NAGAR GATE, OKALY CAMP BUILDING, SEDAM ROAD ,KALABURAGI-585105",KALABURAGI,GLB00198ALH1A,27 Apr 2026,17.1927477,77.1767814,nisarga.careandcure@gmail.com,9986666609,5,9266,1990,3
309,SUJATHA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"Siddarudanagar, Old Town, Bhadravathi",,SMG00249ALCOC,01 Sep 2027,13.504949,75.414354,drhdaswath@gmail.com,9448200456,0,Buliding Area(sq.ft):,,4
310,M/S Saikrupa Diabetes Care Centre,Clinic/Polyclinic Only Consultation,Allopathy,Court Road Yadgiri,YADGIR,YDR00056ALCOC,03 Mar 2026,16.785418,77.137115,pdrprasanna@gmail.com,9886865803,0,Buliding Area(sq.ft):,,3
311,ASHWATTHA MULTISPECIALITY HOSPITAL,Hospital (Level 1B),Allopathy,"SHAIK TOWERS, BASAVESHWAR COLONY ROAD, KALABURAGI-585101",KALABURAGI,GLB00479ALH1B,22 Feb 2027,17.26,76.16,vaibhavshinde1608@gmail.com,7760739261,40,1200,1190,4
312,MANIPAL CLINIC,Clinic/Polyclinic with Diagnostic Support,Allopathy,"# 1317, 1ST CROSS, J P NAGAR 2ND PHASE, BANGALURU - 560078",,BLU01453ALCDS,07 Feb 2026,12.9063,77.5857,ravindra.jr@manipalhospitals.com,9945292799,0,Buliding Area(sq.ft):,,3
313,JAI AMBE GENERAL HOSPITAL,Hospital (Level 1B),Allopathy,H.NO.4311 KHADAK GALLI BELAGAVI TQDT.BELAGAVI-590001,BELAGAVI,BLG00672ALH1B,15 Mar 2027,15.863772,74.514904,ddrsanjay2@gmail.com,9945500308,6,1036,1036,4
314,BELLARY FETAL MEDICINE CENTRE,Diagnostic Imaging Centre,Allopathy,"WARD NO 20, HOUSE NO 30/1, 2ND CROSS, BEHIND MOTHER THERESA SCHOOL, GADHINAGAR BALLARI",BALLARI,BEL00118ALDIC,04 Mar 2026,15.15282,76.93567,dr.rashmiaravindpatel@gmail.com,8867374796,0,Buliding Area(sq.ft):,,3
315,Tara Clinic,Clinic/Polyclinic with Diagnostic Support,Allopathy,"1St Floor, Krishna Complex,Opp. Fish Market, Karwar UK",,UKA00224ALCDS,29 Aug 2027,14.80,74.12,naresh_pawaskar@rediffmail.com,9449369743,0,5622,4223,4
316,ABHI DIAGNOSTIC LAB,Medical Diagnostic Laboratory,Allopathy,"NCC Complex, Kolachalam Compound Opp Old KSRTC Bus Stand",,BEL00258ALMDL,07 Sep 2026,15.146138,76.929068,kumaranil76727@gmail.com,8095348777,0,Buliding Area(sq.ft):,,3
317,GAGAN LAB,Medical Diagnostic Laboratory,Ayurveda,SOJAGO COMPLEX OPP PRIVATE BUS STAND SOMWARPET,,KDG00048AYMDL,17 Apr 2027,12.5943,75.8505,gaganlab12@gmail.com,9448720970,0,Buliding Area(sq.ft):,,4
318,TIRUMALA ORTHOPAEDIC & SURGICAL SPECIALITY CENTER NEWBORN & KIDS CARE CENTER,Clinic/Polyclinic with Observation,Allopathy,"#73,20TH CROSS,2ND STAGE,GAYATHRI LAYOUT,BASAVANAPURA MAIN ROAD, KRISHNARAJAPURAM",,BLU01505ALCWO,16 Feb 2026,13.01060,77.70876,TIRUMALACLINIC@GMAIL.COM,9886663544,0,1368,1368,3
319,CHILDRENS CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"CHILDRENS CLINIC, CARAVAN COMPLEX OPP HARSHA,K.M.MARG UDUPI-576101",UDUPI,UDP00468ALCOC,28 Nov 2026,13.34,74.74,Phone:,9448503889,0,Buliding Area(sq.ft):,,1
320,SUBSHANI CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,MOTTETHADKA DARBE POST PUTTUR,,DKA00695AYCWD,15 Mar 2027,12.7412228,75.22414094,Phone:,9980342869,0,500,210,4
321,child care clinic,Clinic/Polyclinic Only Consultation,Allopathy,vidya complex station bazar,,YDR00393ALCOC,20 Dec 2026,16.45,77.13,vijaykumarpanchakshare@gmail.com,9448577976,0,0,,3
322,SHAFFI HERBAL & HIJAMA CLINIC,Clinic/Polyclinic with Dispensary,Unani,"1ST FLOOR, KATCHI MASJID BUILDING, BUNDER, MANGALORE",MANGALORE,DKA00531UNCWD,17 Aug 2026,12.8616853,74.8336234,syedzahid083@gmail.com,9448770883,0,Buliding Area(sq.ft):,180,1
323,Dr shrivaprasad shetty,Clinic/Polyclinic with Dispensary,Ayurveda,Shree Laxmi narasimma clinic upendra sauda behind Ganesh Medical bc road Bantwal taluk 574219,,DKA00970AYCWD,22 May 2027,12.881044,75.032703,Phone:,9845081001,0,300,300,4
324,Hi Tech Clinical Laboratory,Medical Diagnostic Laboratory,Allopathy,"Javali Complex Near Parishwad Cross, Beedi-591106 Tq,Khanapur Dt.Belagavi",BELAGAVI,BLG00169ALMDL,28 Feb 2026,15.56,74.65,sbharatankalagi07@gmail.com,7795150895,0,200,200,3
325,Nitte Deemed to be University Satellite Centre,Dental Lab or Clinic,Allopathy,"Mangalore University Health Centre Mangalagangothri, Konaje",MANGALORE,DKA00760ALDEN,31 Mar 2027,12.815620,74.920329,drnisha136@gmail.com,9731667960,0,Buliding Area(sq.ft):,,1
326,Parin clinic,Clinic/Polyclinic Only Consultation,Allopathy,"108, First floor, Parin building, Collectors gate, Balmatta, Mangalore",MANGALORE,DKA01252ALCOC,21 Sep 2027,12.87,74.85,drlhprasad@yahoo.com,9480157864,0,Buliding Area(sq.ft):,,4
327,SAI SRINIVASA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"OPP VETERINARY HOSPITAL, KALAMMA STREET, BALLARI",BALLARI,BEL00174ALCOC,16 Apr 2026,15.14287,76.92131,drkvsprasad@rediffmail.com,9448074252,0,Buliding Area(sq.ft):,,3
329,RajaRajeswari Medical College & Hospital,Hospital (Level 4)(Teaching),Allopathy,"No. 202 Kambipura, Mysore Road, Bangalore 560074.",MYSORE,BLU01940ALHL4,16 May 2026,12.8954,77.4611,Phone:,9900028028,0,1089000,1500000,1
331,SURAKSHA CLINIC,Clinic/Polyclinic Only Consultation,Homeopathy,"Kamanakatti Circle, Dharwad-580001.",DHARWAD,DWR00417HOCOC,21 Dec 2026,15.456130,75.017827,shanulbeg@gmail.com,9901767347,0,Buliding Area(sq.ft):,,3
332,shushrusha clinic,Clinic/Polyclinic with Dispensary,Ayurveda,"shushrusha clinic lodi galli kumbar oni Nargund,dist.Gadag.",GADAG,GDG00136AYCWD,12 Jul 2027,15.7213832,75.3828192,Phone:,9448746427,0,Buliding Area(sq.ft):,,3
333,Rathnaram Poly Clinic,Clinic/Polyclinic Only Consultation,Allopathy,"No. 2, 1st A Block, 8rd Phase, J P Nagar, Bangalore – 560078.",BANGALORE,BLU12006ALCOC,21 Aug 2030,12.9030,77.5857,Phone:,9844307682,0,Buliding Area(sq.ft):,,5
334,DR M S ANJUM S DENTAL PRACTICE,Dental Lab or Clinic,Allopathy,"RANGADAL COMPLEX, 1 ST FLOOR, SEDAM ROAD, JAYANAGAR, KALABURAGI-585102",KALABURAGI,GLB00908ALDEN,08 Jan 2029,17.325452,76.857364,drsmanjum13@gmail.com,9845279252,0,8200,1600,3
335,Day Care Centre,Clinic/Polyclinic Only Consultation,Allopathy,S S Ramurthy Road,,KDG00034ALCOC,23 Jun 2026,12.198098,75.805129,drachaiah@yahoo.com,9448005662,0,Buliding Area(sq.ft):,,5
336,SREE SANJEEVINI HOSPITAL,Hospital (Level 1A),Allopathy,SREE SANJEEVINI HOSPITAL OPP KSRTC BUS STOP JAYANAGARA ROAD HIRIYUR,,CTR00068ALH1A,15 May 2026,14.226614,76.400445,drramachandrappa@yahoo.in,9845097482,25,9200,5025,3
337,AESTHETIQUE,Dental Lab or Clinic,Allopathy,"G-1, LightsPro towers, 5/1, Gulmohar Enclave, Lane Opp. Sankara Eye Hospital, Munekolala, Marathahalli Whitefield Road, Bengaluru",BENGALURU,BLU06209ALDEN,20 Dec 2028,12.95,77.713,vijaijeevan@gmail.com,9844011000,0,Buliding Area(sq.ft):,,5
338,Sri Gunamuka Vaidhya Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"Near Devaraj Medicals,Shravanabelagola, Channarayapatana TQ, Hassan-573135",HASSAN,HSN00252AYCOC,23 Nov 2027,12.8519,76.4807,dranjanaik@gmail.com,9986738489,0,500,300,3
339,Prabas VCare Clinic Pvt Ltd,AYUSH Therapy Centre,Homeopathy,"No,70/25, 8Th C Main, 4Th Block, Jayanagar,Bangalore-560011",BANGALORE,BLU03769HOATC,19 Sep 2027,12.7,77.5,hema@vcaregroup.in,9600029512,0,4000,,5
340,BALLARI CHEST CENTRE,Clinic/Polyclinic with Observation,Allopathy,"OPP. SMT BASAVARAJESHWARI HOUSE, 3RD CROSS, GANDHINAGAR. BALLARI",BALLARI,BEL00340ALCWO,13 Jun 2027,15.15239,76.93208,achieve_82@yahoo.co.in,7406863469,0,Buliding Area(sq.ft):,,3
341,Ashwini Clinic,Clinic/Polyclinic with Dispensary,Ayurveda,"2-45/61, Hemavathi Nagar, Near Adarsha School, Alape Padil, Mangalore",MANGALORE,DKA01138AYCWD,21 Jul 2027,12.9141,74.8560,sanuayur31@gmail.com,9916821076,0,1700,300,5
342,Yashoda Dental Clinic,Dental Lab or Clinic,Allopathy,"Opp To KSRTC Bustand, Renuka Medicals Upstairs, B.M.Road, Channarayapatana, Hassan-573116",HASSAN,HSN00386ALDEN,11 Jun 2029,12.9035,76.3898,pramods06061980@gmail.com,8861272327,0,500,400,3
343,Sri Vasavi Dental Clinic,Dental Lab or Clinic,Allopathy,"First floor , Sahyadri circle, Hassan",HASSAN,HSN00154ALDEN,17 May 2027,13.00,76.0,bvgovindaraj@yahoo.co.in,9980294034,0,Buliding Area(sq.ft):,,5
344,DR S F KAMMAR CLINIC,Clinic/Polyclinic with Diagnostic Support,Allopathy,"#55-56, UGF, Eureka Junction, T. B. Road, Deshpande Nagar, Hubballi.",,DWR00239ALCDS,07 Apr 2026,15.353879,75.138513,sherashahkammar@gmail.com,9448110173,0,Buliding Area(sq.ft):,,3
345,consultant clinic,Clinic/Polyclinic Only Consultation,Allopathy,Srinivasa Apartment Car street Bantwal,,DKA00077ALCOC,09 Nov 2025,12.86,75.02,drsnnayak21@gmail.com,9448328331,0,Buliding Area(sq.ft):,,5
346,SHANTI AYURVEDA GENERAL CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,"Chandavarkar Compound, Naer Syndicate Bank, Bazar Road, Honnavar, U.K District.",,UKA00062AYCWD,27 Oct 2026,14.2823074,74.4450519,ranganathpujari46@gmail.com,9449368446,0,680,320,2
347,Renew Health Care,Clinic/Polyclinic with Diagnostic Support,Allopathy,"#681, 8th main, near vegetable shop, P J Extension",,DVG00221ALCDS,26 Sep 2026,14.460453,75.914912,drgurupujar@gmail.com,9591144389,0,640,598,3
348,OM SAI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,BEHIND SECOND BUS STOP JAIL ROAD DARGA VIJAYAPUR,,BIJ00119AYCOC,03 Nov 2025,16.848556,75.698449,drnsmandrup96@gmail.com,9341126144,0,120,120,5
349,ABHAYA PSYCHIATRIC REHABILITATION CENTRE,Allied Health Professional Centre,Allopathy,"ANNAPPA NAGAR, HARADY, SALIKERI POST, BRAHMAVARA UDUPI",UDUPI,UDP00145ALAHC,24 Jun 2026,13.4266,74.7191,baligahospital@gmail.com,9242124621,0,4000,2500,2
350,VARADA DIAGNOSTICS,Medical Diagnostic Laboratory,Allopathy,"DADDENAVAR HOSPITAL Sector No-22, Near Taluk Office Opposite Akshay Hotel NAVANAGAR BAGALKOT - 587 103",,BGK00094ALMDL,18 Mar 2026,16.93,75.40,jmlayood@gmail.com,8296438319,0,360,360,3
351,UNITY HOSPITAL,Hospital (Level 1B),Allopathy,"Dr Irkal Complex, Opp. Kalabhavan, Near Jubilee Circle, Dharwad.",DHARWAD,DWR00012ALH1B,17 Aug 2025,15.459861,75.006860,unityhospitaldwd@gmail.com,8095680919,65,Buliding Area(sq.ft):,,5
352,Sri Banadeshwar Hi Tech Lab & Scanning Centre,Diagnostic Imaging Centre,Allopathy,Opp New Bus Stand Yadagir,,YDR00124ALDIC,22 Sep 2026,16.7626,77.1442,nijapanchal@gmail.com,9920285686,0,2400,,2
353,GRACIOUS EYE CLINIC & SURGICAL CENTRE,Clinic/Polyclinic Only Consultation,Allopathy,"# 25, Huqs corner, 1St Floor, 80 Ft. Main Road, KHB Colony, Koramangala 5th Block, Bangalore -",BANGALORE,BLU01708ALCOC,22 Mar 2026,12.93,77.62,ahmedsm@vsnl.com,9845032020,0,Buliding Area(sq.ft):,,3
354,MALLESHWARA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"# 1 , PARVATHINAGAR BUS STOP , LAGGERE MAIN ROAD , BANGALORE -58",BANGALORE,BLU03540AYCOC,01 Aug 2027,12.56,77.45,mallikarjuna6862@gmail.com,9740756862,0,Buliding Area(sq.ft):,,2
