data_type,district_id,district_name,district_iso_code,state,state_iso_code,facility_type,facility_name,latitude,longitude,phone,address,specialization,degree,council,system_of_medicine,description
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,CLINIC,Sri Devi Clinic,12.6874354,75.2898967,,574210,,,,,"OSM ID: 7562741504, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Sri Dharmasthala Manjunatheshwara Eye Hospital,,,,575003,,,,,"OSM ID: 380340870, Type: way"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Sri Durga Day Care Centre,13.0928676,74.9985176,,,,,,,"OSM ID: 8188038442, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,"Sri Krishna Hospital, Dakshina Kannada",,,,574228,,,,,"OSM ID: 741212149, Type: way"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,CLINIC,Sri Navadurga Clinic,12.8983232,75.0416556,,574211,,,,,"OSM ID: 6938504607, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,CLINIC,"Sri Sathya Sai Nursing Home, Dakshina Kannada",12.8752587,74.8394345,,575003,,,,,"OSM ID: 6938916233, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Srinivas Hospital,,,,,,,,,"OSM ID: 228511262, Type: way"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,CLINIC,Srinivas Institute Of Technology,12.8741309,74.9397108,,"Mangalore, 574202",,,,,"OSM ID: 4437375251, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,St. Ann's Chethana Nursing Home,,,,,,,,,"OSM ID: 653165545, Type: way"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Subrahmanya Government Hospital,12.677804,75.599911,,574238,,,,,"OSM ID: 7202723959, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Sujeer Government Hospital,,,,,,,,,"OSM ID: 824166165, Type: way"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,CLINIC,Suraksha Health Centre,12.7671903,75.1003247,,574243,,,,,"OSM ID: 7562741534, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Surathkal Government Hospital,,,0824-2475720,575014,,,,,"OSM ID: 239545312, Type: way"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Sushrutha Ayurveda Hospital,12.7646433,75.1955514,,574201,,,,,"OSM ID: 6938769669, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,CLINIC,T. D. Johnson Memorial Clinic,12.8786117,74.8566831,,,physiotherapy;accupuncture,,,,"OSM ID: 5867851072, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Taluk General Hospital,12.8940214,75.0415582,,574211,,,,,"OSM ID: 7213565706, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,"Taluk Government Hospital, Sullia",12.562293,75.389772,08257-230479,574239,,,,,"OSM ID: 7202979523, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Taluk Hospital Belthangady,12.9883877,75.2758772,,574214,,,,,"OSM ID: 7202935866, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,CLINIC,Tara Clinic,12.8695892,74.8399709,,575001,,,,,"OSM ID: 6938916222, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Tara Hospital,12.8696279,74.8399039,,,,,,,"OSM ID: 8188036082, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Tejaswini Hospital,12.8803686,74.8537695,,575002,,,,,"OSM ID: 6938770601, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Tejaswini Hospital,,,,,,,,,"OSM ID: 162001272, Type: way"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Unity Hospital,12.8676282,74.8542088,,,,,,,"OSM ID: 13055504366, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,University Medical Center (KMC),,,,575001,,,,,"OSM ID: 26564971, Type: way"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,PHARMACY,Unnamed,12.9958216,75.3298569,,,,,,,"OSM ID: 1719512633, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,PHARMACY,Unnamed,12.9956596,75.328371,,,,,,,"OSM ID: 1719512665, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,PHARMACY,Unnamed,12.9002079,74.8355624,,,,,,,"OSM ID: 4615733653, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,UNKNOWN,Uppinangadi Primary Health Centre,12.840305,75.2481714,08251-251104,574241,,,,,"OSM ID: 7202723928, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Urban Health Centre,12.8582191,74.8495331,,,,,,,"OSM ID: 3362118065, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,UNKNOWN,"Urban Primary Health Centre, Padil, Mangaluru",12.8720021,74.8862282,,575001,,,,,"OSM ID: 7202724077, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,CLINIC,Urology Research Centre and Stone Clinic,12.8676882,74.8521414,,575002,,,,,"OSM ID: 6938915461, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,PHARMACY,Vaibhava Laxmi Medical Stores,12.9085464,74.8297367,,,,,,,"OSM ID: 2399208953, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,UNKNOWN,Vamadapadav Chc,12.9644417,75.0979511,,574324,,,,,"OSM ID: 7202935758, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Vamanjoor Tuberculosis Hospital,,,,,,,,,"OSM ID: 378247911, Type: way"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,"Venus Hospital, Dakshina Kannada",12.9880718,74.8016267,,575014,,,,,"OSM ID: 6939004454, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Veterinary Hospital,12.6321821,75.5353429,,,,,,,"OSM ID: 8188036594, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Veterinary Hospital Kinnigoli,13.0581567,74.8507417,,,,,,,"OSM ID: 8188038512, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,PHARMACY,Vignesh Medicals,12.882044,75.0295765,,B C Road,,,,,"OSM ID: 2487714532, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Vijaya Clinic General Hospital,12.8760085,74.8480497,,575003,,,,,"OSM ID: 6938880545, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,CLINIC,Vijaya Clinic and maternity Surgical Nursing Home,12.8809072,74.8531285,,575004,,,,,"OSM ID: 6938918906, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Vinaya nursing home,,,,575003,,,,,"OSM ID: 215833711, Type: way"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Vishal Children and Maternity Hospital,12.8793959,74.8361099,,575003,,,,,"OSM ID: 6937963277, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,UNKNOWN,Vittal PHC,12.762277,75.097948,,574243,,,,,"OSM ID: 7202723972, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Yenepoya Hospital,12.8116464,74.881258,,,,,,,"OSM ID: 2272838845, Type: node"
HEALTHCARE_FACILITY,276,DAKSHINA KANNADA,534,KARNATAKA,29,HOSPITAL,Yenopaya Medical College Hospital,12.812225,74.8805702,,575018,,,,,"OSM ID: 6944343600, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Adarsha Clinic,14.467401,75.918315,,577002,,,,,"OSM ID: 7566600685, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Aditya Health Care,14.4617046,75.91481,,577002,,,,,"OSM ID: 7566600653, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Alur Super Speciality Centre,14.4586343,75.919227,,577002,,,,,"OSM ID: 7566600671, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Amruth,14.4608014,75.9203693,,577002,,,,,"OSM ID: 7566600678, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Amruth Homeo Clinic,14.4597265,75.9166923,,577002,,,,,"OSM ID: 7566600710, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Anugraha Hospital,14.4593996,75.9189954,,577004,,,,,"OSM ID: 6939278711, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Apoorva Hospital,14.4570296,75.9190598,,577002,,,,,"OSM ID: 6938928631, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Aroma Naturopathy & Ayurveda Hospital,14.450741,75.915577,,,,,,,"OSM ID: 8188037660, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Aruna Nursing Home,14.4576033,75.9189477,,577002,,,,,"OSM ID: 7566600673, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Ashraya Hospital,,,,"Davanagere, 577004",,,,,"OSM ID: 622566690, Type: way"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Ashwini Nursing Home,14.4613859,75.9179903,,577002,,,,,"OSM ID: 6944561976, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Babu Clinic,14.4696709,75.9165996,,577001,,,,,"OSM ID: 7566600682, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Bandamma Clinic,14.445598,75.9127019,,577004,,,,,"OSM ID: 7566600684, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Bapuji Children and Outpatient Hospital,,,,,,,,,"OSM ID: 238056038, Type: way"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Bapuji Hospital,14.4559615,75.9176728,,,,,,,"OSM ID: 8188037653, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Bapuji Hospital,,,,,,,,,"OSM ID: 133125087, Type: way"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,PHARMACY,Bongale Mediacal shop,14.5123793,75.8074823,,,,,,,"OSM ID: 1467837148, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Boovarah Sanjeevini Hospital,14.4548449,75.9204665,,577002,,,,,"OSM ID: 7566600697, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Chigateri General Hospital,14.4573717,75.9168998,,,,,,,"OSM ID: 1472217311, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Chigateri Government District Hospital,,,,577004,general;psychiatry;paediatrics;dentistry;ophthalmology;orthodontics;emergency;orthopaedics;gynaecology;dermatology;radiology;intensive;surgery;cardiology;community;maternity;vaccination;internal,,,,"OSM ID: 238359463, Type: way"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,DENTIST,Chiranthan Dental Care,14.4596921,75.9163784,,577002,,,,,"OSM ID: 7566600663, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Chirayu Ayurvedic Healthcare,14.457575,75.9206429,,577002,,,,,"OSM ID: 7566600742, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,City Central Hospital,14.4602014,75.9189327,,577002,,,,,"OSM ID: 1822632584, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,City Central Hospital - Unit II,14.4565373,75.9204883,+918192257192,"Hadadi Road, Davanagere, 577002",orthopaedics;neurology,,,,"OSM ID: 7205339632, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,City Hospital,14.4691667,75.9225527,,"Davangere, Karnataka, India, Davanagere, 577528",general,,,,"OSM ID: 8188037637, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,City Medical Center,14.4554207,75.9148073,,,,,,,"OSM ID: 1840178983, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Das Home Care Nursing,14.4635817,75.9175903,,577001,,,,,"OSM ID: 7566600655, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Davanagere Health Care Centre,14.4603746,75.9169595,,577002,,,,,"OSM ID: 7566600715, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Davanagere Heart Hospital,14.4499909,75.91207,,577004,,,,,"OSM ID: 6939314730, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Davangere Netralaya,14.4566433,75.9143133,,,,,,,"OSM ID: 4836231584, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,DENTIST,Dr. Ali Dental clinic,14.462188,75.91438,,577002,,,,,"OSM ID: 7566600723, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Dr. B M Vishwanath Clinic,14.4499711,75.9146584,,577005,,,,,"OSM ID: 7566600695, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Dr. Hiremath Speciality Clinic,14.4752238,75.9253421,,577002,,,,,"OSM ID: 7566600692, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Dr. Prema Prabhudev Clinic,14.4493221,75.911018,,577005,,,,,"OSM ID: 7566600719, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Dr. Rajeev Agarwal Hospital,14.4536528,75.9143704,,577004,,,,,"OSM ID: 7566600702, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Dr. Shah Abrar Clinic,14.4751897,75.9253243,,577001,,,,,"OSM ID: 7566600752, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,DOCTORS,Dr. Susheelamma,14.4723971,75.9155739,,577001,,,,,"OSM ID: 7566600664, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Dr. Vijayakumar Clinic & Maternity Hospital,14.4759373,75.9257748,,577001,,,,,"OSM ID: 7566600705, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,DOCTORS,Dr. Vinayswamy,14.4508752,75.9132287,,577005,,,,,"OSM ID: 7566600679, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,DOCTORS,Dr. Vivek Bhide,14.461439,75.911767,,577004,,,,,"OSM ID: 7566600696, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Drishti Speciality Eye Clinic,14.459819,75.917472,,577002,,,,,"OSM ID: 1942577801, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Drona Physiotherapy,14.4611972,75.9097836,,577004,,,,,"OSM ID: 7566600658, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Esi Dispensary City,14.4755344,75.9058798,,,,,,,"OSM ID: 8188037633, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Esi Hospital Nituvalli,14.452459,75.9278318,,577004,,,,,"OSM ID: 1782284238, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,"Eye Care Centre, Davangere",14.4580179,75.9188191,,577002,,,,,"OSM ID: 6944861702, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Government Hospital,14.334255,76.0380718,,,,,,,"OSM ID: 8188037707, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Government Hospital,14.2848023,75.9750174,,,,,,,"OSM ID: 8188037734, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Government Hospital,14.2362266,75.9948007,,,,,,,"OSM ID: 8188037749, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Government Hospital,14.100692,75.9681831,,,,,,,"OSM ID: 8188037794, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Government Hospital,14.0886176,75.8768717,,,,,,,"OSM ID: 8188037804, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Government Hospital Asagodu,14.5624428,76.150888,,577513,,,,,"OSM ID: 7205339616, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Government Hospital Bilasanur,14.4803168,75.7356842,,577516,,,,,"OSM ID: 7205339678, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Government Hospital Mustur,14.4710465,76.434878,,577528,,,,,"OSM ID: 7205339598, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,"Government Hospital, Basavapattana",14.2018764,75.8123435,,577551,,,,,"OSM ID: 7202876152, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,"Government Hospital, Benakanahalli",14.2118953,75.7128665,08188-242278,577224,,,,,"OSM ID: 7202876260, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,"Government Hospital, Bidara Kere",14.4321293,76.2929651,,577553,,,,,"OSM ID: 7205339783, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,"Government Hospital, Channagiri",14.024666,75.9304154,,577213,,,,,"OSM ID: 1711081183, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,"Government Hospital, Chilur",14.1055453,75.684363,08188-264128,577230,,,,,"OSM ID: 7202876208, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,"Government Hospital, Daginakatte",14.1992576,75.7837082,,577551,,,,,"OSM ID: 7202876146, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,"Government Hospital, Devarahalli",14.0981811,75.9683663,08189-239372,577221,,,,,"OSM ID: 7202876268, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,"Government Hospital, Govinakovi",14.16435,75.6675773,08188-290541,577230,,,,,"OSM ID: 7202876177, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,"Government Hospital, Hadadi",14.365106,75.888947,,577525,,,,,"OSM ID: 7205339725, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,"Government Hospital, Harihar",14.5201557,75.8086001,,577601,,,,,"OSM ID: 7205339767, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,"Government Hospital, Harihar Taluk Hospital",14.5039199,75.8094779,,577601,,,,,"OSM ID: 1463977135, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,"Government Hospital, Honnali",14.2380857,75.6364818,08188-251272,577217,,,,,"OSM ID: 7202876155, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,"Government Hospital, Santhebennur",14.1686797,76.007358,,577552,,,,,"OSM ID: 7202876282, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Gurushree Hospital,14.4597621,75.9181914,,577002,,,,,"OSM ID: 7566600718, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,UNKNOWN,Hebbalu Primary Health Centre,14.3773059,76.0971927,,577556,,,,,"OSM ID: 7205339769, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,UNKNOWN,Hemanabethur Primary Health Centre,14.4972079,76.1183485,,577512,,,,,"OSM ID: 7205339685, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,UNKNOWN,Hodigere PHC,14.0414564,76.0039439,,577215,,,,,"OSM ID: 7202876301, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,UNKNOWN,Holesirigere PHC,14.4442611,75.7002448,,577516,,,,,"OSM ID: 7205339743, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,UNKNOWN,Honnuru PHC,14.4187692,75.9963572,,577556,,,,,"OSM ID: 7205339735, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,UNKNOWN,Huvinamadu PHC,14.294666,75.905948,,577525,,,,,"OSM ID: 7205339718, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Jaglur Government Hospital,14.5200319,76.3406977,08196-227106,577528,,,,,"OSM ID: 7205339726, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Jayadeva Maternal & Child Health Centre,14.46057,75.912094,,577004,,,,,"OSM ID: 7566600688, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Jiva Ayurveda Hospital,14.4452903,75.914078,,577005,,,,,"OSM ID: 7566600674, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,UNKNOWN,K. Bevinahalli PHC,14.436235,75.818429,,,,,,,"OSM ID: 7205339706, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Kadli Ningamma Memorial hospital,14.453509,75.9149855,,577002,,,,,"OSM ID: 6939234029, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,UNKNOWN,Kagaturu PHC,14.1202578,75.919507,,577221,,,,,"OSM ID: 7202876310, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,UNKNOWN,Kariganur PHC,14.2973753,75.7657662,08188-273440,577219,,,,,"OSM ID: 7205339642, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Karsur Eye And Skin Hospital,14.4551044,75.9134698,,,,,,,"OSM ID: 4836239118, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,UNKNOWN,Kerebilachi CHC,14.1496352,75.8996429,,577218,,,,,"OSM ID: 7202876246, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,UNKNOWN,Kodaganuru PHC,14.3343584,76.0381915,,577534,,,,,"OSM ID: 7205339648, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,UNKNOWN,Kulambi PHC,14.296844,75.802478,08188-273570,577219,,,,,"OSM ID: 7205339757, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Latha Nursing Home,14.4600107,75.9182825,,577002,,,,,"OSM ID: 7566600681, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,"Latha Nursing Home, Davangere",14.4601346,75.9182471,,577002,,,,,"OSM ID: 6938690613, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,UNKNOWN,Lokikere PHC,14.303781,75.928007,,577002,,,,,"OSM ID: 7205339681, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,M. K. Memorial Hospital,14.461046,75.9124439,,577004,,,,,"OSM ID: 7566600720, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,"Madhavi Hospital, Davangere",14.4610664,75.9119942,,577004,,,,,"OSM ID: 6939228849, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,UNKNOWN,Malebennur CHC,14.3572492,75.7410757,,577601,,,,,"OSM ID: 7205339611, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Mallige Health Care Centre,14.459359,75.914073,,577004,,,,,"OSM ID: 7566600694, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Manasa Clinic,14.4543611,75.9149626,,577004,,,,,"OSM ID: 7566600750, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,PHARMACY,Manjula Medicals,14.4568598,75.91958,,"Davanagere, 577004",,,,,"OSM ID: 3826383539, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,CLINIC,Manjunath Clinic,14.4728938,75.923268,,577002,,,,,"OSM ID: 7566600743, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Mavinthop Hospital,14.4598901,75.9272818,,577002,,,,,"OSM ID: 7566600725, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Mavintop Hospital - Davangere,14.4538908,75.9052947,,577004,,,,,"OSM ID: 6944231461, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,UNKNOWN,Mayakonda PHC,14.282474,76.086132,,577534,,,,,"OSM ID: 7205339746, Type: node"
HEALTHCARE_FACILITY,,DAVANAGERE,,KARNATAKA,29,HOSPITAL,Mekas Hospital,14.4502711,75.9133065,,577005,,,,,"OSM ID: 7566600749, Type: node"
